i_set,test_acc,dataset,train_acc,test_loss,train_loss
4,86.76923370361328,detailed-1000pre,90.032470703125,0.49690285325050354,0.4288017749786377
4,86.76923370361328,detailed-1000pre,90.032470703125,0.49675461649894714,0.42853695154190063
4,86.76923370361328,detailed-1000pre,90.032470703125,0.4965980052947998,0.4282618761062622
4,86.76923370361328,detailed-1000pre,90.0,0.4964279532432556,0.4279751479625702
4,86.76923370361328,detailed-1000pre,90.0,0.4962635338306427,0.42767730355262756
4,86.76923370361328,detailed-1000pre,90.0,0.4961027503013611,0.4273707866668701
4,86.76923370361328,detailed-1000pre,89.967529296875,0.4959264099597931,0.42705607414245605
4,86.76923370361328,detailed-1000pre,90.0,0.49573251605033875,0.42672720551490784
4,86.76923370361328,detailed-1000pre,90.0,0.49551740288734436,0.4263828694820404
4,86.76923370361328,detailed-1000pre,90.0,0.49528422951698303,0.42602357268333435
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49502938985824585,0.4256519675254822
4,86.76923370361328,detailed-1000pre,90.0,0.4948047697544098,0.42527127265930176
4,86.76923370361328,detailed-1000pre,90.0,0.4946499466896057,0.42488446831703186
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49458158016204834,0.42449820041656494
4,86.76923370361328,detailed-1000pre,89.93506622314453,0.49445459246635437,0.4241156280040741
4,86.76923370361328,detailed-1000pre,89.967529296875,0.4942888915538788,0.4237334728240967
4,86.76923370361328,detailed-1000pre,89.93506622314453,0.49409982562065125,0.4233457148075104
4,86.76923370361328,detailed-1000pre,89.93506622314453,0.4938339591026306,0.4229472577571869
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49360746145248413,0.4225376546382904
4,86.76923370361328,detailed-1000pre,89.967529296875,0.4933833181858063,0.42211034893989563
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49305781722068787,0.4216678738594055
4,86.76923370361328,detailed-1000pre,90.0,0.4926437735557556,0.4212094843387604
4,86.76923370361328,detailed-1000pre,90.0,0.492291122674942,0.4207371175289154
4,86.76923370361328,detailed-1000pre,90.032470703125,0.4920162260532379,0.4202543795108795
4,86.76923370361328,detailed-1000pre,90.06493377685547,0.49174097180366516,0.4197552502155304
4,86.92308044433594,detailed-1000pre,90.09740447998047,0.49136361479759216,0.4192411005496979
4,86.92308044433594,detailed-1000pre,90.09740447998047,0.49094459414482117,0.418714314699173
4,86.92308044433594,detailed-1000pre,90.12986755371094,0.49069857597351074,0.4181748628616333
4,86.92308044433594,detailed-1000pre,90.16233825683594,0.4905531704425812,0.4176202118396759
4,86.92308044433594,detailed-1000pre,90.19480895996094,0.4903082847595215,0.41705095767974854
4,86.92308044433594,detailed-1000pre,90.16233825683594,0.4898529052734375,0.4164736568927765
4,86.92308044433594,detailed-1000pre,90.19480895996094,0.4893844425678253,0.41588181257247925
4,86.92308044433594,detailed-1000pre,90.19480895996094,0.4890323579311371,0.4152829945087433
4,86.92308044433594,detailed-1000pre,90.19480895996094,0.48876121640205383,0.41466179490089417
4,86.92308044433594,detailed-1000pre,90.19480895996094,0.4883790612220764,0.4140179455280304
4,86.92308044433594,detailed-1000pre,90.2272720336914,0.48784640431404114,0.4133397340774536
4,86.76923370361328,detailed-1000pre,90.29220581054688,0.4872775375843048,0.41261762380599976
4,86.76923370361328,detailed-1000pre,90.32467651367188,0.48683175444602966,0.41183868050575256
4,86.76923370361328,detailed-1000pre,90.32467651367188,0.48629799485206604,0.4110056757926941
4,86.92308044433594,detailed-1000pre,90.32467651367188,0.4855708181858063,0.41010844707489014
4,86.92308044433594,detailed-1000pre,90.38961029052734,0.48511379957199097,0.4092238247394562
4,86.92308044433594,detailed-1000pre,90.45454406738281,0.48484328389167786,0.40837618708610535
4,86.92308044433594,detailed-1000pre,90.45454406738281,0.48448359966278076,0.4075341820716858
4,87.07691955566406,detailed-1000pre,90.45454406738281,0.4839511215686798,0.40668725967407227
4,87.07691955566406,detailed-1000pre,90.45454406738281,0.4832557141780853,0.4058205187320709
4,87.07691955566406,detailed-1000pre,90.45454406738281,0.4824187755584717,0.40490642189979553
4,87.23076629638672,detailed-1000pre,90.45454406738281,0.4814946949481964,0.40390729904174805
4,87.38461303710938,detailed-1000pre,90.45454406738281,0.48045146465301514,0.40281885862350464
4,87.53845977783203,detailed-1000pre,90.48701477050781,0.4797331392765045,0.4016660451889038
4,87.53845977783203,detailed-1000pre,90.55194854736328,0.47921761870384216,0.4005429744720459
4,87.53845977783203,detailed-1000pre,90.51947784423828,0.4785006046295166,0.39942842721939087
4,87.53845977783203,detailed-1000pre,90.51947784423828,0.47775959968566895,0.3983047604560852
4,87.38461303710938,detailed-1000pre,90.51947784423828,0.4768008589744568,0.39714133739471436
